NR,air_hour,DataTime
781,1,05:04:01 20.07.2020
782,1,06:04:01 20.07.2020
783,31,07:04:01 20.07.2020
784,32,08:04:01 20.07.2020
785,32,09:04:01 20.07.2020
786,32,10:04:01 20.07.2020
787,32,11:04:01 20.07.2020
788,32,12:04:01 20.07.2020
789,31,13:04:01 20.07.2020
790,1,14:04:01 20.07.2020
791,1,15:04:01 20.07.2020
792,1,16:04:01 20.07.2020
793,11,17:04:01 20.07.2020
794,31,18:04:01 20.07.2020
795,31,19:04:01 20.07.2020
796,31,20:04:01 20.07.2020
797,588,07:57:01 22.07.2020
798,584,08:57:01 22.07.2020
799,583,09:58:01 22.07.2020
800,586,10:58:01 22.07.2020
801,553,11:58:01 22.07.2020
802,580,12:58:01 22.07.2020
803,578,13:58:01 22.07.2020
804,575,14:58:01 22.07.2020
805,581,15:58:01 22.07.2020
806,580,16:58:01 22.07.2020
807,577,17:58:01 22.07.2020
808,586,18:58:01 22.07.2020
809,583,19:58:01 22.07.2020
810,578,20:58:01 22.07.2020
811,585,21:58:01 22.07.2020
812,583,22:58:01 22.07.2020
813,580,23:58:01 22.07.2020
814,581,00:58:01 23.07.2020
815,582,01:58:01 23.07.2020
816,585,02:58:01 23.07.2020
817,584,03:58:01 23.07.2020
818,584,04:58:01 23.07.2020
